chain,plu,product_name,status,rank,recipe_id,recipe_title,score,missing_components,extra_components,missing_recipe_ingredients,mixed_ingredient_groups,review_reasons,source_url
perekrestok,3463948,"Паста Санта Бремор Антарктик криль подкопчённый из морепродуктов, 150г",review,3,foodru_45437,Паста с морепродуктами в сливочном соусе,0.5258,"antarktik, kril, podkopch",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/45437-pasta-s-moreproduktami-v-slivochnom-souse
perekrestok,3463949,"Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г",review,1,foodru_58012,Сливочная паста с морепродуктами,0.6251,"antarktik, garlic, kril",,garlic,,"missing_named_components, retail_spread_not_pasta, named_ingredient_unconfirmed, low_name_score",https://food.ru/recipes/58012-slivochnaja-pasta-s-moreproduktami
perekrestok,3463949,"Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г",review,2,foodru_45437,Паста с морепродуктами в сливочном соусе,0.5856,"antarktik, kril",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/45437-pasta-s-moreproduktami-v-slivochnom-souse
perekrestok,3463949,"Паста Санта Бремор Антарктик криль сливочно-чесночный из морепродуктов, 150г",review,3,foodru_66469,Паста с морепродуктами и сливочным соусом,0.5856,"antarktik, kril",,,,"missing_named_components, retail_spread_not_pasta, low_name_score",https://food.ru/recipes/66469-pasta-s-moreproduktami-i-slivochnym-sousom
perekrestok,3468682,"Шпроты Вкусные Консервы в масле, 240г",review,1,foodru_81150,"Яйца, фаршированные консервами из шпрот",0.6963,oil,"aica, meat",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/81150-jaica-farshirovannye-konservami-iz-shprot
perekrestok,3468682,"Шпроты Вкусные Консервы в масле, 240г",review,2,foodru_102024,Салат на скорую руку из рыбных консервов со шпротами,0.6492,oil,"ruku, rybnyh, skoru",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/102024-salat-na-skoruiu-ruku-iz-rybnyh-konservov-so-shprotami
perekrestok,3468682,"Шпроты Вкусные Консервы в масле, 240г",review,3,foodru_207563,Брускетты со шпротами и маслинами,0.6072,konserv,bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
perekrestok,3468684,"Шпроты Вкусные Консервы крупные в масле, 240г",review,1,foodru_81150,"Яйца, фаршированные консервами из шпрот",0.6663,"krupn, oil","aica, meat",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/81150-jaica-farshirovannye-konservami-iz-shprot
perekrestok,3468684,"Шпроты Вкусные Консервы крупные в масле, 240г",review,2,foodru_102024,Салат на скорую руку из рыбных консервов со шпротами,0.6192,"krupn, oil","ruku, rybnyh, skoru",,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/102024-salat-na-skoruiu-ruku-iz-rybnyh-konservov-so-shprotami
perekrestok,3468684,"Шпроты Вкусные Консервы крупные в масле, 240г",review,3,foodru_207563,Брускетты со шпротами и маслинами,0.5823,"konserv, krupn",bruskett,,,"dish_family_unconfirmed, missing_named_components, extra_recipe_components, low_name_score",https://food.ru/recipes/207563-brusketty-iz-shprot-s-maslinami-1706043720
